Name;#Dockerfiles;Description;tag;dockerhub_link;dockerfile_link
adminer;2;Database management in a single PHP file.;4.8.1-fastcgi;https://hub.docker.com/_/adminer;https://github.com/TimWolla/docker-adminer/blob/0f6d3781a93e274faaee2020b110b7bf701dc5da/4/fastcgi/Dockerfile
aerospike;2;Aerospike – the reliable, high performance, distributed database optimized for flash and RAM.;ce-5.7.0.10;https://hub.docker.com/_/aerospike;https://github.com/aerospike/aerospike-server.docker/blob/cd21e935015ec519e3761ab3e13c9038f34867d1/Dockerfile
api-firewall;1;A light-weighted API Firewall to protect your API endpoints with API Schema validation.;0.6.7;https://hub.docker.com/_/api-firewall;https://github.com/wallarm/api-firewall-docker/blob/5cd07f115f16d10095a385a73568a4e60caf278b/0.6.7/Dockerfile
arangodb;3;ArangoDB - a distributed database with a flexible data model for documents, graphs, and key-values.;3.9;https://hub.docker.com/_/arangodb;https://github.com/arangodb/arangodb-docker/blob/de7e9211691614f105c7809cb13405ef5afa0be8/alpine/3.9.0/Dockerfile
backdrop;2;The comprehensive CMS for small to medium sized businesses and non-profits.;1.17.3;https://hub.docker.com/_/backdrop;https://github.com/backdrop-ops/backdrop-docker/blob/b760ba970a67f3dcdc975ed8b77f915895184577/1/apache/Dockerfile
bash;12;Bash is the GNU Project's Bourne Again SHell;4.4.23;https://hub.docker.com/_/bash;https://github.com/tianon/docker-bash/blob/70b65fa22011fa4b58c93570b2fed168b79102e4/4.4/Dockerfile
bonita;3;Bonita is an open-source business process management and workflow suite;7.15.0;https://hub.docker.com/_/bonita;https://github.com/bonitasoft/bonita-distrib/blob/21c0e51634e836feaf910e8e3d6e95de200e1814/docker/Dockerfile
caddy;14;Caddy 2 is a powerful, enterprise-ready, open source web server with automatic HTTPS written in Go.;alpine;https://hub.docker.com/_/caddy;https://github.com/caddyserver/caddy-docker/blob/c2a97d2c1ac79f2d20db8464d717eaa5a19c030c/2.4/alpine/Dockerfile
cassandra;3;Apache Cassandra is an open-source distributed storage system.;4.0.3;https://hub.docker.com/_/cassandra;https://github.com/docker-library/cassandra/blob/ac4975fcd60b47291ca4772d8cce8047f10674b4/4.0/Dockerfile
chronograf;8;Chronograf is a visualization tool for time series data in InfluxDB.;1.7;https://hub.docker.com/_/chronograf;https://github.com/influxdata/influxdata-docker/blob/625db807731c184f4ec5b0e1b66995700022256b/chronograf/1.7/Dockerfile
composer;2;Composer is a dependency manager written in and for PHP.;2.2.6;https://hub.docker.com/_/composer;https://github.com/composer/docker/blob/13c34214259a1075e7f0df31d73eb0f61c995e10/2.2/Dockerfile
consul;3;Consul is a datacenter runtime that provides service discovery, configuration, and orchestration.;1.10.8;https://hub.docker.com/_/consul;https://github.com/hashicorp/docker-consul/blob/2ea4d91791a5dc9005499b8c8ae2b5f2f19af5a4/0.X/Dockerfile
convertigo;1;Open source Low Code & No Code Application Platform featuring MXDP/MBaaS for full-stack development.;7.9.8;https://hub.docker.com/_/convertigo;https://github.com/convertigo/convertigo/blob/89e450f51ff96df7c0b44470c4e62fc962012a1e/docker/default/Dockerfile
couchbase;5;Couchbase Server is a NoSQL document database with a distributed architecture.;6.0.5;https://hub.docker.com/_/couchbase;https://github.com/couchbase/docker/blob/5929be778eb5306f116f71cc9a0a23fea6d9a7aa/enterprise/couchbase-server/6.0.5/Dockerfile
couchdb;3;CouchDB is a database that uses JSON for documents, an HTTP API, & JavaScript/declarative indexing.;3.3.1;https://hub.docker.com/_/couchdb;https://github.com/apache/couchdb-docker/blob/bdaa3681c0c16d2c3bc1bdc451be9ff5b74f2d62/3.3.1/Dockerfile
crate;2;CrateDB is a distributed SQL database that handles massive amounts of machine data in real-time.;4.6.7;https://hub.docker.com/_/crate;https://github.com/crate/docker-crate/blob/dcf924796b97fd7e5277048540e6c8972671c55d/Dockerfile
docker;8;Docker in Docker!;20.10.12-dind-rootless;https://hub.docker.com/_/docker;https://github.com/docker-library/docker/blob/16d77b9b3258873b79b8c997d5e2b90c5533b85e/20.10/dind-rootless/Dockerfile
drupal;36;Drupal is an open source content management platform powering millions of websites and applications.;9.2.13-php8.0-fpm-alpine3.14;https://hub.docker.com/_/drupal;https://github.com/docker-library/drupal/blob/a49a4d96817a568d1739a2ae7581437046aa1ad7/9.2/php8.0/fpm-alpine3.14/Dockerfile
eclipse-mosquitto;5;Eclipse Mosquitto is an open source message broker which implements MQTT version 5, 3.1.1 and 3.1;1.5.11;https://hub.docker.com/_/eclipse-mosquitto;https://github.com/eclipse/mosquitto/blob/3cbe805e71ac41a2a20cc9b2ea6b3b619f49554a/docker/1.5/Dockerfile
